,test_c,test_i,train_c,train_i
0,1076,8924,6330,53670
1,9242,758,55223,4777
2,9249,751,55443,4557
3,9222,778,55440,4560
4,9253,747,55746,4254
5,9277,723,55827,4173
6,9277,723,55748,4252
7,9296,704,55883,4117
8,9273,727,55836,4164
9,9289,711,55922,4078
10,9289,711,55959,4041
11,9262,738,55638,4362
12,9277,723,55843,4157
13,9282,718,55921,4079
14,9286,714,55851,4149
15,9291,709,56058,3942
16,9287,713,55972,4028
17,9284,716,55856,4144
18,9287,713,56116,3884
19,9294,706,56105,3895
20,9276,724,56091,3909
21,9274,726,56093,3907
22,9253,747,55717,4283
23,9275,725,56093,3907
24,9285,715,55980,4020
25,9268,732,56016,3984
26,9253,747,56010,3990
27,9269,731,56052,3948
28,9265,735,55991,4009
29,9252,748,55871,4129
30,9273,727,56025,3975
31,9257,743,55872,4128
32,9292,708,56137,3863
33,9290,710,56160,3840
34,9300,700,56202,3798
35,9288,712,56154,3846
36,9277,723,56183,3817
37,9275,725,56129,3871
38,9269,731,56111,3889
39,9247,753,56071,3929
40,9249,751,56021,3979
41,9274,726,56126,3874
42,9272,728,56161,3839
43,9284,716,56110,3890
44,9287,713,56193,3807
45,9270,730,56146,3854
46,9262,738,56096,3904
47,9276,724,56168,3832
48,9272,728,56126,3874
49,9273,727,56078,3922
50,9260,740,56052,3948
